Id,Suburb,Value,Date,NumberOfBedrooms,Type
4362,South Granville,864,10/11/2023,1,unit
4363,Gordon,959,30/03/2023,4,unit
4364,Allambie Heights,2053,23/04/2023,2,house
4365,Cowan,1978,19/05/2023,3,house
4366,Woronora Heights,1096,12/10/2024,3,house
4367,Oran Park,1428,04/06/2024,4,house
4368,Prospect,1209,22/10/2024,2,house
4369,Hassall Grove,1264,17/10/2023,3,house
4370,Barangaroo,1341,15/05/2024,2,unit
4371,Palm Beach,602,19/04/2024,3,unit
4372,Sandy Point,2071,08/09/2024,2,house
4373,Vineyard,829,08/03/2023,3,house
4374,Guildford,1152,19/09/2024,2,house
4375,North Sydney,1486,13/01/2023,4,house
4376,North Bondi,2016,25/07/2024,4,house
4377,Bondi,1360,02/09/2024,1,unit
4378,East Ryde,1656,30/08/2023,2,house
4379,Clemton Park,588,17/03/2023,4,unit
4380,Merrylands West,1114,27/07/2024,3,house
4381,Riverstone,729,29/08/2023,4,unit
4382,North Bondi,1133,04/01/2024,4,unit
4383,Bilgola Beach,706,20/01/2024,1,unit
4384,Newington,1255,02/03/2023,4,unit
4385,Woodbine,876,10/02/2023,3,unit
4386,Blackett,915,11/11/2023,4,unit
4387,Ingleside,1086,12/06/2023,3,unit
4388,Lansvale,2002,03/09/2023,4,house
4389,Queenscliff,1318,16/01/2024,2,house
4390,Sydney,748,19/06/2024,2,unit
4391,Hillsdale,2017,28/04/2024,1,house
4392,Haberfield,1246,27/10/2024,3,house
4393,Prospect,841,31/07/2023,5,house
4394,Gregory Hills,1264,16/07/2023,2,unit
4395,East Killara,1036,02/09/2023,3,house
4396,Point Piper,1446,24/04/2024,3,house
4397,East Lindfield,1686,29/09/2024,3,house
4398,Kingswood,1263,12/12/2023,3,unit
4399,Chifley,675,13/08/2024,3,unit
4400,Oatley,943,09/03/2024,5,unit
4401,Parklea,1035,20/02/2023,2,house
4402,Darlington,958,08/07/2023,4,unit
4403,Warrawee,1188,14/09/2023,3,house
4404,Shanes Park,2061,05/05/2023,4,house
4405,Narraweena,516,27/02/2023,3,unit
4406,Bardwell Park,664,31/08/2023,2,unit
4407,Yowie Bay,2091,04/07/2023,3,house
4408,Great Mackerel Beach,762,22/10/2023,1,house
4409,Glendenning,1028,16/01/2024,5,unit
4410,Enfield,1173,10/01/2024,3,unit
4411,Currans Hill,1579,16/09/2023,4,house
4412,Elvina Bay,1063,03/04/2023,2,unit
4413,Belrose,1380,23/03/2023,2,unit
4414,North Bondi,791,03/04/2024,5,unit
4415,Balmain East,918,09/02/2023,4,house
4416,Dulwich Hill,1096,06/02/2023,5,unit
4417,Voyager Point,943,18/04/2023,1,unit
4418,Austral,1072,06/09/2023,4,house
4419,Engadine,1921,26/03/2024,4,house
4420,Willoughby East,1558,07/01/2024,1,house
4421,Lower Portland,1444,15/05/2024,4,unit
4422,Erskine Park,1288,08/05/2023,3,unit
4423,Turrella,1252,18/02/2024,4,unit
4424,Davidson,2161,27/01/2023,2,house
4425,Linley Point,1165,06/05/2024,3,unit
4426,Balgowlah,886,16/11/2023,2,house
4427,Jamisontown,756,18/04/2023,1,house
4428,Menangle Park,570,09/10/2024,4,unit
4429,Granville,676,26/03/2024,4,unit
4430,Merrylands,1041,15/08/2023,1,unit
4431,Bayview,1217,06/02/2023,5,unit
4432,Allambie Heights,788,02/10/2023,1,unit
4433,Rosemeadow,1139,10/08/2024,5,unit
4434,St Marys,1338,01/08/2024,2,unit
4435,Birchgrove,551,05/01/2024,2,unit
4436,Roselands,2037,02/05/2024,3,house
4437,Ermington,994,10/06/2024,1,house
4438,Berrilee,928,23/06/2023,3,house
4439,Woodpark,1368,03/01/2024,3,unit
4440,Sylvania Waters,970,07/11/2023,2,unit
4441,Gordon,806,18/09/2023,2,unit
4442,Prospect,2104,28/04/2024,4,house
4443,Carlton,1591,08/03/2023,4,house
4444,Fairlight,1351,08/07/2024,1,house
4445,Scotland Island,527,05/03/2023,2,unit
4446,Glenwood,1057,28/04/2024,2,house
4447,South Granville,900,09/09/2024,4,house
4448,Merrylands,2023,15/07/2024,3,house
4449,Double Bay,1434,23/11/2023,4,house
4450,Westleigh,822,23/03/2024,3,house
4451,Waverton,1888,29/04/2024,2,house
4452,Lewisham,906,16/04/2023,4,house
4453,Rockdale,1141,12/06/2023,4,unit
4454,Darlington,919,17/12/2023,2,unit
4455,Newington,968,31/08/2023,4,unit
4456,Cobbitty,1057,06/06/2024,1,unit
4457,Bondi Beach,1213,11/08/2024,2,house
4458,Penshurst,1199,03/09/2024,3,unit
4459,Hobartville,1030,09/03/2023,1,house
4460,St Leonards,835,06/06/2024,3,house
4461,Strathfield South,1146,12/07/2024,1,unit
4462,Erskine Park,2215,17/12/2023,3,house
4463,Pleasure Point,890,11/03/2024,4,unit
4464,Rouse Hill,1962,07/05/2023,1,house
4465,Darlington,1936,01/09/2023,4,house
4466,Woodbine,940,28/06/2024,4,unit
4467,Oakville,1152,22/04/2024,4,unit
4468,Londonderry,930,30/06/2023,5,unit
4469,Willmot,2035,16/06/2023,3,house
4470,Cowan,1998,17/10/2024,2,house
4471,Emerton,1332,16/03/2024,3,house
4472,Balmain East,1155,17/05/2024,4,house
4473,Rydalmere,1896,28/08/2024,2,house
4474,Bringelly,1192,22/05/2024,2,unit
4475,South Granville,718,07/08/2024,5,unit
4476,Hornsby,1264,09/03/2023,2,unit
4477,Beverley Park,1681,17/08/2024,4,house
4478,Fairlight,876,09/04/2024,1,unit
4479,Naremburn,1107,22/07/2024,2,house
4480,Tempe,1187,30/04/2024,3,unit
4481,Warriewood,692,23/10/2024,2,unit
4482,Burwood,1986,29/11/2023,4,house
4483,Airds,1567,18/12/2023,4,house
4484,Hobartville,1476,05/02/2023,4,unit
4485,Hurlstone Park,1011,05/07/2024,1,unit
4486,Riverwood,707,25/04/2024,4,unit
4487,North Curl Curl,1080,22/08/2024,5,unit
4488,Lurnea,588,01/05/2023,3,unit
4489,Telopea,1468,06/01/2023,2,unit
4490,Glenmore Park,1303,16/08/2023,3,house
4491,Campbelltown,2172,30/04/2023,2,house
4492,Londonderry,2188,03/05/2024,2,house
4493,Cowan,538,13/01/2023,4,unit
4494,East Killara,939,01/09/2024,3,unit
4495,Rozelle,1363,21/08/2024,2,unit
4496,North Narrabeen,1276,03/10/2023,3,unit
4497,Surry Hills,1261,19/11/2023,2,house
4498,Cattai,2145,26/10/2024,4,house
4499,Lalor Park,708,13/07/2024,3,unit
4500,Bundeena,1479,06/03/2024,2,unit
4501,Castle Cove,1731,02/03/2024,4,house
4502,Eastgardens,793,21/02/2024,2,house
4503,Quakers Hill,1430,22/02/2023,2,unit
4504,Kyeemagh,2226,22/03/2023,5,house
4505,Frenchs Forest,2128,25/03/2024,4,house
4506,Smithfield,607,01/07/2024,2,unit
4507,Lugarno,1140,23/06/2023,5,house
4508,Minchinbury,1968,11/04/2024,5,house
4509,Port Botany,725,21/09/2023,5,unit
4510,Pymble,1477,21/09/2023,1,house
4511,McMahons Point,515,23/12/2023,1,unit
4512,Alfords Point,868,04/08/2023,3,unit
4513,Neutral Bay,2052,05/08/2023,1,house
4514,Prairiewood,1108,19/12/2023,2,unit
4515,The Rocks,736,05/09/2024,2,unit
4516,South Wentworthville,2001,17/08/2023,4,house
4517,Alexandria,1441,23/07/2024,4,unit
4518,Wattle Grove,1833,17/12/2023,2,house
4519,Willoughby,1705,24/09/2024,4,house
4520,North Balgowlah,2242,19/02/2023,4,house
4521,Como,513,31/03/2024,4,unit
4522,Westleigh,1051,02/07/2023,1,house
4523,Bringelly,1000,11/03/2024,5,house
4524,Canterbury,1173,26/03/2023,4,house
4525,Spring Farm,592,05/03/2024,4,unit
4526,Croydon Park,1113,05/09/2023,3,unit
4527,Annangrove,1157,14/04/2023,3,unit
4528,Fairfield East,754,10/01/2024,4,house
4529,Bass Hill,769,08/08/2024,5,unit
4530,North Curl Curl,619,25/11/2023,3,unit
4531,Mascot,1088,18/05/2023,2,unit
4532,Malabar,1025,06/02/2024,4,unit
4533,Dawes Point,753,30/01/2024,4,house
4534,Padstow Heights,1519,02/12/2023,4,house
4535,Castle Hill,643,26/06/2024,5,unit
4536,Matraville,1122,08/09/2024,1,house
4537,La Perouse,2161,26/02/2024,3,house
4538,Bow Bowing,1170,02/04/2023,2,house
4539,Collaroy Plateau,1243,18/01/2024,3,house
4540,Glenhaven,1933,09/04/2023,3,house
4541,Millers Point,541,05/03/2024,2,unit
4542,Waterloo,740,04/03/2024,2,unit
4543,Burwood,1009,08/08/2023,4,unit
4544,Box Hill,1621,19/07/2024,2,house
4545,Emerton,917,19/01/2023,4,unit
4546,Regents Park,2055,22/08/2024,2,house
4547,Port Hacking,940,02/05/2023,4,house
4548,Maianbar,1939,30/07/2023,2,house
4549,Warrawee,1462,15/05/2023,3,house
4550,Caringbah,949,03/02/2024,4,unit
4551,Bligh Park,532,07/06/2024,3,unit
4552,Woodpark,760,17/05/2023,1,house
4553,Roseville Chase,738,12/08/2023,4,unit
4554,Berowra,1010,07/06/2023,5,unit
4555,Barden Ridge,1690,15/06/2024,5,house
4556,Eastlakes,790,04/06/2023,3,house
4557,Shanes Park,725,14/06/2023,3,unit
4558,Taren Point,1053,04/08/2023,2,house
4559,Sandy Point,1343,29/04/2023,3,unit
4560,Ramsgate Beach,1462,19/02/2023,1,house
4561,Hurstville Grove,783,27/08/2023,4,unit
4562,Elderslie,1047,21/09/2023,3,unit
4563,Harris Park,798,15/02/2023,4,unit
4564,Denham Court,969,07/04/2023,2,unit
4565,Elvina Bay,1258,17/11/2023,1,house
4566,Rhodes,2226,07/05/2023,4,house
4567,Strathfield,852,22/06/2024,1,unit
4568,Peakhurst,1360,13/07/2023,4,house
4569,Edgecliff,958,15/05/2024,3,house
4570,Wheeler Heights,1293,18/06/2023,3,unit
4571,North Epping,1884,11/01/2024,4,house
4572,North Sydney,1651,29/06/2023,3,house
4573,Castlereagh,759,29/07/2024,2,house
4574,Wolli Creek,951,09/10/2023,1,unit
4575,Camellia,1143,02/12/2023,2,unit
4576,Yagoona,1771,22/05/2024,4,house
4577,Wolli Creek,1345,15/04/2024,1,house
4578,Oxley Park,723,07/04/2024,3,unit
4579,Wentworth Point,753,05/06/2023,2,house
4580,Oatlands,1800,23/08/2024,2,house
4581,Mulgoa,1122,30/08/2024,4,unit
4582,Wattle Grove,2076,24/02/2024,1,house
4583,Oxford Falls,812,21/10/2023,4,unit
4584,Varroville,690,09/07/2023,5,unit
4585,Oxley Park,706,20/12/2023,3,unit
4586,Wahroonga,1408,24/11/2023,1,unit
4587,Kirkham,2223,23/06/2023,2,house
4588,Turrella,1803,07/10/2024,4,house
4589,Werrington County,2191,09/01/2024,4,house
4590,Kurnell,1026,28/02/2024,4,unit
4591,Riverstone,1150,11/12/2023,4,house
4592,Mount Pritchard,1222,26/05/2023,5,house
4593,Woodbine,559,12/03/2024,5,unit
4594,Barangaroo,652,08/01/2023,2,unit
4595,Hobartville,1292,26/01/2023,4,unit
4596,Werrington Downs,705,15/02/2023,5,unit
4597,Berrilee,1236,10/09/2024,4,unit
4598,Linley Point,1555,09/07/2024,2,house
4599,Auburn,1413,07/10/2023,2,unit
4600,Sadleir,525,31/07/2024,4,unit
4601,Centennial Park,1497,30/11/2023,3,house
4602,Breakfast Point,1264,14/02/2024,5,house
4603,Pleasure Point,775,18/07/2024,5,unit
4604,Wentworthville,1089,09/10/2024,2,house
4605,Bankstown Aerodrome,1284,25/11/2023,2,house
4606,Nelson,1161,12/07/2023,2,house
4607,North Kellyville,1246,20/03/2024,1,house
4608,Phillip Bay,1179,23/10/2023,4,unit
4609,Bringelly,1179,25/01/2023,4,unit
4610,Wedderburn,1363,02/07/2023,1,house
4611,Great Mackerel Beach,759,27/01/2024,1,house
4612,Drummoyne,1384,25/03/2023,3,house
4613,Panania,1389,22/05/2024,2,house
4614,North Manly,564,23/08/2023,4,unit
4615,Colyton,849,12/03/2023,3,unit
4616,Little Bay,1302,09/12/2023,3,house
4617,Pennant Hills,1125,06/03/2024,4,house
4618,Bungarribee,918,07/07/2023,2,unit
4619,Bidwill,951,01/02/2024,5,house
4620,Galston,501,22/08/2023,2,unit
4621,Liberty Grove,823,22/01/2024,3,unit
4622,Smeaton Grange,1261,19/07/2023,1,unit
4623,Phillip Bay,1389,09/06/2023,5,house
4624,Long Point,1840,05/08/2023,4,house
4625,Oakhurst,1004,24/01/2023,1,unit
4626,Elizabeth Bay,955,08/06/2023,4,house
4627,Woolooware,985,26/01/2024,1,house
4628,Normanhurst,894,22/10/2024,4,unit
4629,Lower Portland,1303,05/06/2023,5,house
4630,Old Guildford,722,11/10/2023,5,unit
4631,Sydenham,2182,25/10/2024,2,house
4632,Eschol Park,976,02/03/2024,4,unit
4633,Willoughby,1636,15/07/2023,3,house
4634,Avalon Beach,2148,15/01/2023,1,house
4635,Clemton Park,1050,10/08/2023,5,house
4636,Bellevue Hill,893,18/06/2023,4,unit
4637,Cherrybrook,1029,31/01/2024,1,house
4638,Lansdowne,1897,03/06/2023,5,house
4639,Paddington,2244,04/09/2023,4,house
4640,Linley Point,2190,18/02/2023,3,house
4641,St Ives Chase,650,25/05/2023,1,unit
4642,Bondi,937,27/07/2023,3,house
4643,Engadine,1414,18/05/2024,2,unit
4644,Bidwill,2031,18/03/2024,2,house
4645,Turramurra,1705,03/07/2023,4,house
4646,Gledswood Hills,1986,28/06/2024,5,house
4647,Vaucluse,1461,23/05/2024,2,unit
4648,Rose Bay,1659,10/01/2023,5,house
4649,Elvina Bay,2110,22/10/2024,3,house
4650,Tempe,625,29/09/2024,5,unit
4651,Moore Park,1336,04/01/2023,3,house
4652,Erskine Park,866,11/10/2024,4,unit
4653,Miranda,1318,01/08/2023,5,house
4654,Eagle Vale,1150,01/01/2023,5,house
4655,Mulgoa,677,22/09/2023,3,unit
4656,Alexandria,975,06/02/2024,5,unit
4657,Wakeley,509,11/01/2024,2,unit
4658,Edgecliff,1176,03/07/2024,2,unit
4659,Vaucluse,2094,12/02/2024,2,house
4660,Rozelle,1590,02/09/2023,2,house
4661,Prospect,703,17/12/2023,4,unit
4662,Moorebank,2250,18/10/2024,2,house
4663,Greystanes,627,24/12/2023,1,unit
4664,Mortdale,1848,08/11/2023,2,house
4665,Hebersham,534,14/03/2023,2,unit
4666,Cecil Park,1657,02/10/2023,5,house
4667,Randwick,1090,29/08/2024,2,unit
4668,Mount Annan,759,06/04/2024,3,house
4669,Sandy Point,2052,08/04/2024,2,house
4670,Castlecrag,1417,21/04/2024,4,house
4671,Colebee,1042,16/07/2023,2,house
4672,Greystanes,808,07/06/2023,2,unit
4673,Cartwright,1010,02/03/2023,4,unit
4674,Londonderry,1084,09/03/2023,5,unit
4675,Warrawee,1140,01/06/2024,4,unit
4676,Hillsdale,1575,24/04/2023,4,house
4677,Wollstonecraft,1162,20/10/2023,2,house
4678,Gymea Bay,597,16/11/2023,4,unit
4679,Leets Vale,765,15/09/2024,2,unit
4680,Northwood,1869,03/02/2023,2,house
4681,Bayview,1821,20/02/2024,5,house
4682,Bradbury,2223,22/11/2023,1,house
4683,Orchard Hills,1776,27/09/2024,2,house
4684,Illawong,2238,17/04/2024,2,house
4685,Miranda,1407,14/10/2024,4,unit
4686,Cottage Point,1992,09/11/2023,2,house
4687,Gordon,641,06/02/2023,3,unit
4688,Elderslie,1882,07/04/2023,2,house
4689,Prestons,1668,01/06/2024,1,house
4690,Dangar Island,1414,03/04/2024,1,unit
4691,Canterbury,948,21/04/2023,1,unit
4692,Bringelly,1696,10/09/2023,2,house
4693,Sydney Olympic Park,883,13/08/2023,5,house
4694,Raby,1498,16/11/2023,4,house
4695,Enmore,1533,16/03/2023,3,house
4696,Cherrybrook,610,01/06/2024,4,unit
4697,Constitution Hill,1860,11/03/2024,3,house
4698,Matraville,1410,14/08/2023,4,house
4699,Elanora Heights,1020,06/08/2024,3,house
4700,Milsons Passage,1274,20/06/2023,5,unit
4701,Roseville Chase,1710,08/06/2023,2,house
4702,Oxford Falls,981,09/09/2023,2,house
4703,Len Waters Estate,1014,28/01/2023,4,house
4704,Newtown,854,22/06/2024,3,unit
4705,Austral,2149,07/02/2023,3,house
4706,Longueville,533,20/05/2024,2,unit
4707,Bonnyrigg,1470,16/02/2023,4,unit
4708,Enfield,979,20/11/2023,5,house
4709,Dangar Island,883,19/09/2024,2,unit
4710,Kenthurst,1214,01/02/2024,1,unit
4711,Bexley North,1198,01/08/2023,4,house
4712,Bayview,1012,13/03/2023,4,house
4713,Banksia,756,01/06/2023,2,unit
4714,Kingsgrove,799,26/02/2023,2,unit
4715,Stanhope Gardens,1104,06/05/2023,3,house
4716,Camperdown,2245,08/05/2023,1,house
4717,Orchard Hills,1509,06/05/2023,4,house
4718,East Hills,555,12/08/2023,1,unit
4719,Illawong,2218,04/01/2023,4,house
4720,Ryde,1010,14/08/2024,3,unit
4721,Bondi Junction,1214,06/03/2024,4,unit
4722,Petersham,716,02/06/2024,3,unit
4723,Willoughby East,1432,28/05/2024,1,house
4724,Glenhaven,854,08/04/2024,1,unit
4725,Greenhills Beach,1680,25/05/2023,3,house
4726,Sandringham,2059,08/11/2023,2,house
4727,Cronulla,1267,30/12/2023,4,unit
4728,Breakfast Point,1702,19/02/2024,2,house
4729,Mortlake,1170,11/09/2024,1,house
4730,Stanmore,911,27/04/2024,2,unit
4731,Glenmore Park,1198,14/01/2023,1,house
4732,Galston,1630,18/04/2024,2,house
4733,Rydalmere,901,14/07/2023,1,house
4734,North Turramurra,1683,16/03/2024,5,house
4735,Oxford Falls,652,05/04/2024,2,unit
4736,South Hurstville,994,10/05/2024,5,house
4737,Colebee,807,23/02/2023,1,unit
4738,Mortlake,570,23/01/2024,5,unit
4739,Oxley Park,529,20/08/2023,5,unit
4740,Marrickville,1924,25/02/2023,4,house
4741,Oxley Park,1315,17/12/2023,4,house
4742,Chippendale,1876,11/10/2024,2,house
4743,Asquith,1566,18/04/2023,4,house
4744,Oxford Falls,1210,09/10/2024,2,house
4745,Mount Vernon,1879,25/03/2023,3,house
4746,Sydney Olympic Park,1373,19/07/2024,3,unit
4747,Glenmore Park,1188,10/10/2023,1,house
4748,Hoxton Park,1953,04/05/2023,2,house
4749,Gymea,1488,17/08/2024,1,unit
4750,Dharruk,820,17/05/2024,4,house
4751,Cammeray,908,04/08/2023,4,unit
4752,South Windsor,1317,23/08/2024,2,house
4753,Wisemans Ferry,510,03/04/2024,3,unit
4754,Penshurst,1160,12/03/2024,5,unit
4755,Norwest,1032,21/06/2024,2,unit
4756,Minto Heights,974,04/02/2023,4,unit
4757,Mount Druitt,982,05/01/2024,5,unit
4758,Coasters Retreat,1326,07/02/2024,2,house
4759,Rosemeadow,516,15/06/2023,5,unit
4760,Horsley Park,1306,29/10/2023,5,unit
4761,Asquith,1234,01/07/2023,4,unit
4762,Westmead,1423,20/08/2023,4,house
4763,Old Toongabbie,602,23/05/2023,4,unit
4764,Ashfield,1334,18/03/2023,3,unit
4765,Pitt Town,1960,17/07/2023,4,house
4766,Clareville,2236,23/10/2024,2,house
4767,Marayong,948,13/06/2023,2,house
4768,Kurraba Point,1182,04/07/2023,3,house
4769,Shanes Park,1237,05/07/2023,2,unit
4770,Barangaroo,941,17/06/2023,2,unit
4771,Killarney Heights,1774,03/06/2024,2,house
4772,Sandy Point,858,30/07/2024,5,unit
4773,Wahroonga,1280,03/03/2024,4,unit
4774,Sefton,686,30/08/2024,3,unit
4775,Shanes Park,1287,17/08/2024,2,unit
4776,Vaucluse,1389,03/03/2024,1,unit
4777,Double Bay,2145,21/08/2024,5,house
4778,Kemps Creek,2083,30/12/2023,5,house
4779,Cammeray,1328,07/04/2023,4,unit
4780,Bow Bowing,1480,07/06/2023,2,house
4781,Sydney,1848,18/11/2023,1,house
4782,Canley Vale,597,30/03/2024,4,unit
4783,Newtown,957,28/12/2023,5,house
4784,Marrickville,1067,19/12/2023,2,unit
4785,Blakehurst,1326,27/01/2023,2,unit
4786,Roselands,693,07/01/2024,4,unit
4787,Mount Lewis,1737,16/03/2023,2,house
4788,Whale Beach,1306,18/05/2023,5,unit
4789,Longueville,1977,13/10/2024,1,house
4790,Russell Lea,943,14/02/2024,3,house
4791,Melrose Park,1441,17/07/2024,2,house
4792,Colyton,1167,26/01/2024,2,unit
4793,South Granville,895,12/02/2024,1,unit
4794,Pemulwuy,651,17/06/2024,1,unit
4795,Plumpton,880,08/06/2023,1,unit
4796,McCarrs Creek,1373,04/03/2024,2,unit
4797,Carnes Hill,848,01/08/2024,1,unit
4798,Enfield,596,19/11/2023,3,unit
4799,Newport,2097,11/02/2024,3,house
4800,Pleasure Point,915,25/03/2023,5,house
4801,Bardwell Park,638,05/11/2023,4,unit
4802,Sydenham,800,19/02/2023,4,unit
4803,Mosman,861,28/05/2023,3,house
4804,Dharruk,987,17/06/2023,4,house
4805,St Ives Chase,1226,11/09/2023,2,unit
4806,St Clair,1900,12/10/2024,2,house
4807,St Leonards,1255,19/07/2023,5,house
4808,Brighton-Le-Sands,1131,07/07/2023,2,unit
4809,Greenhills Beach,811,29/11/2023,2,unit
4810,Lindfield,677,11/12/2023,2,unit
4811,Watsons Bay,1059,05/03/2024,2,unit
4812,North St Marys,1801,07/09/2024,1,house
4813,Canoelands,1711,17/01/2024,4,house
4814,Canoelands,1125,05/09/2024,5,unit
4815,Illawong,1067,24/09/2023,1,unit
4816,Condell Park,1227,23/12/2023,3,unit
4817,Jordan Springs,905,05/10/2024,3,unit
4818,Narraweena,712,08/05/2024,1,unit
4819,Castlereagh,967,07/03/2024,2,unit
4820,Lane Cove West,894,21/08/2023,4,house
4821,Northwood,774,27/10/2023,4,house
4822,Dural,1021,17/04/2024,4,house
4823,North Parramatta,1116,27/01/2024,3,unit
4824,Lane Cove,604,19/06/2024,2,unit
4825,Moore Park,1243,24/03/2023,2,unit
4826,Blacktown,1468,12/09/2024,4,unit
4827,Enfield,1096,05/04/2024,3,unit
4828,Prospect,1288,18/05/2024,5,unit
4829,Quakers Hill,1672,27/04/2023,2,house
4830,Linley Point,1476,27/03/2024,2,house
4831,North Rocks,1929,12/04/2023,3,house
4832,St Andrews,1690,18/07/2024,5,house
4833,Lakemba,1027,02/05/2023,5,unit
4834,Burwood Heights,1162,19/11/2023,2,unit
4835,Edensor Park,1130,24/06/2023,3,unit
4836,Ashfield,1053,23/01/2024,3,house
4837,Lovett Bay,1647,31/10/2023,5,house
4838,Double Bay,1152,08/07/2023,2,unit
4839,Regentville,1861,16/06/2023,3,house
4840,Woodbine,837,31/03/2023,3,house
4841,Guildford West,1152,26/04/2023,3,house
4842,Hunters Hill,599,25/04/2023,1,unit
4843,Lidcombe,1147,15/07/2023,3,house
4844,Crows Nest,1278,04/06/2024,3,unit
4845,Bundeena,1011,21/11/2023,1,unit
4846,Cartwright,1362,16/07/2024,2,house
4847,Taren Point,2089,24/09/2023,5,house
4848,Georges Hall,1620,03/01/2023,2,house
4849,Newtown,1238,22/07/2024,4,unit
4850,Merrylands West,1140,14/07/2023,1,unit
4851,Galston,634,07/04/2024,3,unit
4852,Wahroonga,1394,14/09/2024,2,unit
4853,Peakhurst,2143,23/09/2023,1,house
4854,Glenwood,1246,13/01/2023,4,unit
4855,Clontarf,1579,21/10/2023,5,house
4856,Manly,1208,18/03/2023,4,unit
4857,Hunters Hill,879,25/09/2024,3,house
4858,Allawah,1612,14/10/2023,2,house
4859,Kogarah Bay,576,10/10/2023,2,unit
4860,Balmain East,1242,20/01/2024,2,unit
4861,South Turramurra,989,17/06/2024,2,unit
4862,South Granville,867,04/05/2024,3,unit
4863,Busby,906,02/10/2023,4,unit
4864,Abbotsbury,1431,21/06/2023,2,house
4865,Haberfield,838,29/07/2023,5,unit
4866,Auburn,2202,03/10/2024,1,house
4867,Leichhardt,1239,05/08/2024,2,unit
4868,Colyton,809,29/06/2023,3,unit
4869,Richmond,515,04/12/2023,3,unit
4870,Maroubra,1433,17/11/2023,4,unit
4871,Berkshire Park,1244,31/05/2024,1,unit
4872,Leumeah,1348,07/04/2023,1,unit
4873,Newport,1048,11/02/2023,3,house
4874,Chatswood,1839,08/05/2023,3,house
4875,Redfern,1135,05/06/2024,4,house
4876,Woodbine,1837,09/01/2023,2,house
4877,Castlereagh,1029,21/02/2023,5,house
4878,Great Mackerel Beach,957,13/06/2024,5,unit
4879,North Epping,1436,23/02/2024,2,unit
4880,Caddens,1452,23/10/2024,4,house
4881,Forest Lodge,1995,07/02/2023,5,house
4882,Sefton,1494,07/04/2024,4,unit
4883,Bow Bowing,1728,17/06/2024,2,house
4884,Pennant Hills,916,17/11/2023,4,house
4885,Fairfield,1360,20/01/2024,4,unit
4886,Kentlyn,577,02/04/2024,3,unit
4887,Millers Point,751,21/01/2023,5,house
4888,St Peters,1117,17/01/2024,4,unit
4889,Longueville,1169,23/03/2024,2,unit
4890,Cremorne Point,1417,18/10/2023,4,house
4891,Sandringham,946,29/09/2023,4,house
4892,Quakers Hill,1397,23/10/2023,2,unit
4893,Box Hill,909,10/03/2024,3,house
4894,Chifley,1022,21/04/2023,2,unit
4895,Green Valley,2188,12/05/2024,5,house
4896,Rosebery,1447,21/01/2023,4,house
4897,Canoelands,1469,21/09/2024,5,unit
4898,Constitution Hill,2002,18/03/2023,5,house
4899,Maraylya,1278,01/07/2023,3,unit
4900,Padstow,702,08/12/2023,2,unit
4901,Hunters Hill,905,28/11/2023,3,unit
4902,Pagewood,2098,22/04/2024,2,house
4903,Kingsford,1366,14/05/2023,4,unit
4904,Dean Park,986,24/08/2023,2,unit
4905,Glenhaven,2100,04/09/2024,2,house
4906,South Coogee,1303,17/02/2024,3,house
4907,Pleasure Point,1230,06/04/2024,2,house
4908,St Peters,590,24/08/2024,5,unit
4909,Holroyd,892,07/01/2023,3,house
4910,Darling Point,1212,12/11/2023,3,unit
4911,Gladesville,1007,26/09/2024,1,unit
4912,West Pennant Hills,879,18/08/2024,2,house
4913,Berala,1338,16/04/2024,2,unit
4914,Carnes Hill,1219,17/02/2023,2,unit
4915,Clarendon,841,24/12/2023,1,house
4916,Point Piper,858,02/07/2023,2,house
4917,Werrington,1157,30/09/2023,4,unit
4918,Sydney Olympic Park,990,10/03/2023,1,unit
4919,Londonderry,1462,03/08/2023,3,house
4920,Rooty Hill,2004,08/09/2024,3,house
4921,Pennant Hills,773,07/04/2024,4,unit
4922,Eastwood,709,03/09/2024,1,unit
4923,North Epping,1657,18/08/2024,3,house
4924,North Curl Curl,790,27/02/2024,3,unit
4925,Bankstown Aerodrome,1119,21/06/2023,4,house
4926,Mortlake,793,24/07/2024,4,house
4927,Bondi,2053,24/08/2023,5,house
4928,Kenthurst,1350,22/05/2024,1,unit
4929,South Windsor,1545,11/06/2023,4,house
4930,Dundas Valley,771,26/08/2023,3,house
4931,Bringelly,964,26/01/2023,3,house
4932,Crows Nest,658,19/03/2023,3,unit
4933,Bradbury,1202,28/06/2023,3,unit
4934,Punchbowl,930,21/11/2023,5,house
4935,McMahons Point,502,15/10/2024,2,unit
4936,Newtown,1884,14/04/2024,4,house
4937,Caddens,1125,14/01/2023,2,unit
4938,Middle Dural,1058,17/02/2024,4,unit
4939,Point Piper,665,13/03/2023,4,unit
4940,Wattle Grove,1959,17/07/2023,2,house
4941,Breakfast Point,928,02/11/2023,4,house
4942,Huntleys Point,1411,29/01/2024,2,house
4943,Singletons Mill,1120,20/04/2024,4,unit
4944,Quakers Hill,2235,18/10/2023,2,house
4945,Bilgola Beach,550,11/01/2023,5,unit
4946,Wolli Creek,948,23/07/2023,2,unit
4947,Frenchs Forest,1561,25/09/2024,4,house
4948,Port Hacking,925,17/01/2024,4,unit
4949,Collaroy Plateau,858,17/02/2024,3,house
4950,Cecil Park,1457,08/11/2023,4,unit
4951,Hoxton Park,1222,19/06/2024,4,house
